,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
4836,14470,14470,39533,La China ATX,austin,tx,,,"mexican, latin american, new mexican",$,30.15489,-97.72138,3.0,9.0,4.47,3.5,1,TX/AUSTIN,17
4843,14477,14477,39540,oos Tacos,austin,tx,4.6,26.0,"mexican, sandwich, burgers",$,30.3480073,-97.7033294,3.0,20.6,7.442142857142857,7.48,1,TX/AUSTIN,28
4845,14479,14479,39543,Brazas Taco House,austin,tx,4.9,76.0,"mexican, tex mex, family meals",$,30.334028,-97.716468,3.0,10.5,4.461489361702127,3.5,1,TX/AUSTIN,47
4847,14481,14481,39545,Breakfast in Bed,austin,tx,4.1,20.0,"breakfast and brunch, burritos, sandwiches, american, mexican, comfort food",$$,30.41565,-97.67366,3.5,14.5,8.68421052631579,8.5,1,TX/AUSTIN,19
4854,14488,14488,39552,Con Madre Kitchen,austin,tx,4.4,112.0,"mexican, breakfast and brunch, tacos, burritos, local specialities",$,30.2371378,-97.7489249,3.0,19.99,9.830769230769231,5.995,1,TX/AUSTIN,52
4855,14489,14489,39553,Tacos TJ,austin,tx,4.2,25.0,"mexican, latin american, new mexican",$,30.294381,-97.719304,3.0,8.25,6.4375,8.25,1,TX/AUSTIN,20
4856,14490,14490,39554,Pacos Tacos,austin,tx,,,"mexican, latin american, new mexican",$$,30.3075,-97.70581,3.85,12.4,8.9625,9.2,1,TX/AUSTIN,32
4865,14499,14499,39566,Tacoly Moly,austin,tx,,,"mexican, latin american, new mexican",$,30.250835,-97.754249,3.25,11.15,5.661428571428572,4.45,1,TX/AUSTIN,35
4868,14502,14502,39569,Taco Cabana,austin,tx,4.7,48.0,"mexican, tex mex, breakfast and brunch, family meals",$,30.2198802,-97.835562,3.09,49.59,10.1446875,6.390000000000001,1,TX/AUSTIN,64
4869,14503,14503,39571,Taqueria Chapala,austin,tx,4.8,91.0,"mexican, tacos, desserts",$$,30.23574,-97.85477,3.79,11.99,8.560384615384615,9.74,1,TX/AUSTIN,26
4872,14506,14506,39574,oos Tacos,austin,tx,4.8,119.0,"mexican, burgers, sandwich",$,30.3697669,-97.7152305,3.49,6.95,5.758181818181819,5.970000000000001,1,TX/AUSTIN,22
4885,14519,14519,39588,Daydream Breakfast Burritos,austin,tx,,,"mexican, burritos, breakfast and brunch",$,30.26759,-97.74299,3.0,15.6,9.180384615384614,10.2,1,TX/AUSTIN,26
4887,14521,14521,39590,Breakfast Town,austin,tx,4.9,12.0,"breakfast and brunch, burritos, sandwiches, american, mexican, comfort food",$$,30.29439,-97.7193,3.5,11.0,8.0,8.75,1,TX/AUSTIN,18
4888,14522,14522,39591,Kesos Tacos,austin,tx,4.7,199.0,"mexican, tex mex, new mexican, breakfast and brunch, family meals",$,30.282642,-97.744444,3.25,49.0,7.043396226415094,5.25,1,TX/AUSTIN,53
4934,14568,14568,39642,Morales Ltexmex food,austin,tx,,,"tex mex, new mexican, allergy friendly, asian, asian fusion",$$,30.2905239,-97.7446904,3.0,10.0,7.880434782608695,9.0,1,TX/AUSTIN,23
5009,14643,14643,39726,Mesa Rosa Mexican Restaurant,austin,tx,,,"mexican, new mexican, tex mex",$$,30.48383,-97.73582,3.99,19.99,10.894395604395603,10.99,1,TX/AUSTIN,91
5010,14644,14644,39727,Daves Tacos,austin,tx,4.9,88.0,"mexican, allergy friendly",$,30.1536253,-97.8338615,3.0,18.5,8.948666666666666,7.5,1,TX/AUSTIN,75
5018,14652,14652,39738,El Faro Mexican Food,austin,tx,,,"mexican, latin american, new mexican",$,30.43535,-97.67437,3.0,14.99,8.819791666666667,8.99,1,TX/AUSTIN,48
5056,14690,14690,39781,Cafe Hornitos,austin,tx,,,"mexican, latin american, new mexican",$$,30.294182,-97.72047,3.99,23.99,8.753188405797102,8.99,1,TX/AUSTIN,69
5077,14711,14711,39804,One Taco,austin,tx,4.7,136.0,"tacos, mexican, wings",$,30.46184,-97.81461,3.15,10.0,5.786274509803922,5.25,1,TX/AUSTIN,51
5084,14718,14718,39811,TACO MARGARITA,austin,tx,,,"mexican, latin american, new mexican",$,30.21103,-97.9686,3.0,16.99,9.336078431372547,7.99,1,TX/AUSTIN,51
5090,14724,14724,39817,El Huarache,austin,tx,4.8,107.0,mexican,$$,30.4362035,-97.6846348,3.0,15.0,9.402432432432432,10.225,1,TX/AUSTIN,74
5091,14725,14725,39818,One Taco,austin,tx,4.7,217.0,"mexican, tex mex, breakfast and brunch, wings",$,30.4255361,-97.7537757,3.15,10.0,5.786274509803922,5.25,1,TX/AUSTIN,51
5098,14732,14732,39828,Taco Flats,austin,tx,4.8,68.0,"breakfast and brunch, mexican, tex mex",$,30.3308594,-97.7402963,4.0,18.0,8.604166666666666,7.25,1,TX/AUSTIN,72
5113,14747,14747,39844,Marianas Kitchen,austin,tx,4.7,155.0,mexican,$,30.2005754,-97.763549,3.0,15.99,8.577802197802198,8.99,1,TX/AUSTIN,91
5115,14749,14749,39846,El Secreto De La Abuela,austin,tx,4.6,72.0,"mexican, salads, comfort food",$$,30.21554,-97.79972,3.25,26.99,10.21765306122449,10.99,1,TX/AUSTIN,98
5120,14754,14754,39851,ZIKI,austin,tx,4.7,436.0,"greek, mexican, mediterranean",$$,30.24243,-97.75272,3.0,15.0,9.764705882352942,11.5,1,TX/AUSTIN,34
5139,14773,14773,39872,Aleidas Restaurant,austin,tx,,,"mexican, latin american, new mexican, tacos, burritos",$,30.479957671126574,-97.82890677452087,8.5,24.25,17.052941176470586,17.0,1,TX/AUSTIN,17
5146,14780,14780,39879,Las Palomas Restaurant  Bar,austin,tx,4.4,44.0,"mexican, salads, new mexican, family meals, healthy",$$,30.2719245,-97.8001535,3.0,55.0,13.511904761904765,13.0,1,TX/AUSTIN,84
5151,14785,14785,39884,Burros Breakfast Burritos,austin,tx,4.4,92.0,"breakfast and brunch, burritos, american, mexican, comfort food, family friendly",$$,30.411498669925333,-97.67588087576218,3.5,14.25,9.264705882352942,8.0,1,TX/AUSTIN,17
5152,14786,14786,39885,Top Taco,austin,tx,,,"mexican, latin american, new mexican, breakfast and brunch",$,30.4437682,-97.8324889,3.25,23.4,5.555789473684211,3.25,1,TX/AUSTIN,19
5159,14793,14793,39892,Con Madre Kitchen,austin,tx,4.5,101.0,"mexican, burritos, tacos",$,30.19537,-97.84385,3.0,19.99,10.478599999999998,6.99,1,TX/AUSTIN,50
5160,14794,14794,39893,Oye Taquito,austin,tx,4.9,41.0,"mexican, latin american, new mexican",$,30.25794,-97.72603,3.0,13.0,7.892857142857143,8.0,1,TX/AUSTIN,14
5167,14801,14801,39900,Toyloco,austin,tx,4.6,140.0,"black-owned, mexican, latin american, new mexican",$,30.2603876,-97.7120942,3.0,12.99,7.282173913043478,8.0,1,TX/AUSTIN,23
5175,14809,14809,39910,TacoXpress,austin,tx,4.9,46.0,"mexican, tacos, latin american, burritos, comfort food",$,30.24588,-97.77834,3.6,13.85,7.286842105263157,5.6,1,TX/AUSTIN,38
5183,14817,14817,39919,Tacodeli,austin,tx,4.8,291.0,"mexican, latin american, new mexican, tacos, tacos, breakfast and brunch, tex mex, family friendly, family meals, gluten free, kids friendly, snacks, sopas e caldos, vegan, vegetarian",$,30.26529,-97.74362,3.2,9.15,4.568181818181818,4.05,1,TX/AUSTIN,22
5192,14826,14826,39932,Tortilleria La Sabrocita,austin,tx,4.6,58.0,"mexican, latin american, new mexican",$,30.3571065,-97.6855542,3.19,24.99,12.70448275862069,13.99,1,TX/AUSTIN,29
5193,14827,14827,39933,Taqueria La Montaa,austin,tx,4.3,48.0,"mexican, new mexican, tacos",$,30.376897,-97.677491,3.15,30.0,9.160204081632653,7.0,1,TX/AUSTIN,49
5196,14830,14830,39936,Los Potrillos,austin,tx,4.7,33.0,"mexican, latin american, new mexican, tex mex, soup, seafood, steak",$$,30.35685,-97.68994,3.49,39.99,14.242736842105264,12.99,1,TX/AUSTIN,95
5198,14832,14832,39940,Sabor  Honduras,austin,tx,4.5,20.0,"latin american, mexican, vegetarian, tacos, asado, breakfast and brunch",$$,30.23812,-97.71835,4.0,16.0,9.48,12.0,1,TX/AUSTIN,25
5201,14835,14835,39943,La Playa Mexican Food,austin,tx,,,"mexican, latin american, new mexican",$$,30.2003,-97.78612,3.25,25.99,11.115545454545456,9.99,1,TX/AUSTIN,110
5202,14836,14836,39944,Taco Cabana,austin,tx,4.2,47.0,"mexican, family meals",$,30.3882793,-97.7429849,3.09,49.59,10.00875,6.19,1,TX/AUSTIN,64
5204,14838,14838,39946,Native Grocery,austin,tx,4.7,123.0,"mexican, mediterranean, specialty foods",$,30.2610836,-97.7042045,3.99,11.99,8.1634375,8.99,1,TX/AUSTIN,32
5207,14841,14841,39949,Las Planchitas de Posada,austin,tx,,,"mexican, latin american, new mexican",$$,30.18447,-97.85062,3.5,16.0,10.80952380952381,13.0,1,TX/AUSTIN,21
5208,14842,14842,39951,Vaquero Taquero,austin,tx,5.0,31.0,"mexican, latin american, new mexican",$,30.2951071,-97.7364183,3.0,6.0,4.792631578947368,5.0,1,TX/AUSTIN,19
5209,14843,14843,39952,Taqueria Arandinas,austin,tx,4.3,69.0,"mexican, latin american, new mexican",$,30.3656744,-97.6966741,3.25,29.99,12.307786885245902,12.5,1,TX/AUSTIN,122
5211,14845,14845,39955,Sabor Tapatio,austin,tx,4.8,118.0,"mexican, sandwich, latin american",$$,30.204735,-97.77526,3.0,16.0,9.05,12.0,1,TX/AUSTIN,20
5220,14854,14854,39964,Aurora Venezuelan Food,austin,tx,4.8,26.0,"latin american, mexican, vegetarian, healthy",$,30.39521,-97.7263,3.0,22.0,10.87741935483871,10.0,1,TX/AUSTIN,31
5226,14860,14860,39970,Taco Flats,austin,tx,4.8,72.0,"mexican, latin american, american, tex mex",$,30.2800856,-97.7594678,4.0,18.0,8.875,8.0,1,TX/AUSTIN,68
5227,14861,14861,39971,Freebirds World Burrito,austin,tx,4.7,194.0,"healthy, mexican, new mexican, latin american, desserts, salads, family meals",$,30.3961639,-97.7195456,3.45,45.24,10.660243902439024,9.6,1,TX/AUSTIN,41
5237,14871,14871,39981,Bomb Tacos,austin,tx,4.4,400.0,"mexican, latin american",$$,30.1743359,-97.7695398,3.6,14.0,8.024561403508772,8.0,1,TX/AUSTIN,57
5244,14878,14878,39989,TAQUERIA JOHNNY TACOS,austin,tx,4.7,302.0,"mexican, latin american, new mexican",$$,30.25704,-97.72394,4.0,13.0,8.86111111111111,12.0,1,TX/AUSTIN,36
5257,14891,14891,40002,Taqueria Arandas,austin,tx,,,"mexican, latin american, new mexican",$,30.21656,-97.79882,3.25,14.99,9.395238095238096,10.24,1,TX/AUSTIN,84
5268,14902,14902,40015,Egghead Breakfast Burritos,austin,tx,,,"breakfast and brunch, burritos, american, mexican, comfort food, family friendly",$$,30.21353,-97.72814,3.25,14.25,9.125,11.75,1,TX/AUSTIN,14
5270,14904,14904,40017,Burros Breakfast Burritos,austin,tx,4.4,23.0,"breakfast and brunch, burritos, american, mexican, comfort food, family friendly",$$,30.21353,-97.72814,3.25,14.25,8.303571428571429,7.625,1,TX/AUSTIN,14
5277,14911,14911,40026,Casa Morenos,austin,tx,4.8,240.0,"mexican, latin american, new mexican, street food, tex mex, vegetarian friendly, breakfast and brunch",$,30.213568,-97.72816,3.0,9.99,5.953684210526316,5.99,1,TX/AUSTIN,19
5294,14928,14928,40043,Dos Batos Tacos,austin,tx,5.0,28.0,"new mexican, allergy friendly",$,30.3568326,-97.7352548,3.65,10.85,7.370454545454546,5.95,1,TX/AUSTIN,22
5298,14932,14932,40052,Hole in the Wall MexTex Cuisine,austin,tx,3.9,20.0,"mexican, tex mex, new mexican",$$,30.44612550453073,-97.68523693084715,3.99,19.99,12.7727868852459,12.99,1,TX/AUSTIN,122
5309,14943,14943,40074,The Perfect Breakfast Burrito,austin,tx,,,"breakfast and brunch, american, comfort food, kids friendly, mexican",$$,30.31648,-97.70811,3.0,14.0,8.764705882352942,11.0,1,TX/AUSTIN,17
5322,14956,14956,40087,Aioli Breakfast Burrito,austin,tx,,,"breakfast and brunch, american, comfort food, kids friendly, mexican",$$,30.31648,-97.70811,3.0,14.0,8.352941176470589,10.5,1,TX/AUSTIN,17
5327,14961,14961,40095,Buenos Sabores,austin,tx,4.7,24.0,"mexican, desserts, allergy friendly",$,30.45381,-97.82817,3.29,17.29,7.49,5.640000000000001,1,TX/AUSTIN,62
5336,14970,14970,40105,Eggstreme Breakfast Burritos,austin,tx,,,"breakfast and brunch, burritos, american, mexican, comfort food, family friendly",$$,30.2944,-97.71931,3.5,14.25,10.636363636363637,13.25,1,TX/AUSTIN,11
5356,14990,14990,40126,Pelons,austin,tx,4.4,14.0,"mexican, family meals, tacos, burritos, new mexican, tex mex, vegan friendly, vegetarian friendly, gluten free friendly, local eats, local specialities, salads, soup, desserts, alcohol",$$,30.2688033,-97.7365847,3.5,55.0,18.103246753246754,15.5,1,TX/AUSTIN,77
5363,14997,14997,40134,Trudys North Star,austin,tx,4.6,88.0,"mexican, latin american, new mexican, family friendly",$,30.3705875,-97.7275805,3.0,75.0,16.0625,16.0,1,TX/AUSTIN,136
5365,14999,14999,40137,Capital Taco,austin,tx,4.2,15.0,"mexican, tex mex, allergy friendly",$,30.23085,-97.79176,3.25,12.99,4.900645161290323,3.75,1,TX/AUSTIN,31
5368,15002,15002,40141,Seor Suiza,austin,tx,,,"pure veg, mexican, new mexican, vegan, vegan friendly, vegetarian, vegetarian friendly, gluten free friendly, local specialities",$$$,30.29039,-97.72428,5.95,17.49,14.80157894736842,16.49,1,TX/AUSTIN,19
5386,15020,15020,40161,Trudys South Star,austin,tx,4.3,140.0,"mexican, latin american, new mexican, family meals, family friendly",$$,30.1973113,-97.7670899,6.0,75.0,20.354666666666667,18.5,1,TX/AUSTIN,75
5389,15023,15023,40164,Pueblo Viejo,austin,tx,4.7,105.0,"mexican, tacos, breakfast and brunch, family friendly, local specialities",$,30.2373719,-97.72494,3.5,14.95,6.917857142857143,5.55,1,TX/AUSTIN,42
5392,15026,15026,40167,El Secreto De La Abuela,austin,tx,4.6,184.0,"mexican, latin american, new mexican, allergy friendly",$,30.25623,-97.69262,3.0,17.49,9.45589552238806,8.25,1,TX/AUSTIN,134
5395,15029,15029,40170,Serranos,austin,tx,4.8,114.0,"mexican, tex mex, breakfast and brunch, family friendly",$$,30.1623323,-97.7905629,3.6,26.4,14.7,14.7,1,TX/AUSTIN,50
5404,15038,15038,40179,Pollo Regio,austin,tx,4.7,199.0,"mexican, latin american, new mexican, family friendly",$,30.31965,-97.68901,3.09,28.74,12.866363636363635,12.79,1,TX/AUSTIN,22
5406,15040,15040,40181,Las Cazuelas Mexican Restaurant,austin,tx,4.4,127.0,"mexican, latin american, new mexican, breakfast and brunch, burritos, tacos, vegan friendly, braised pork rice, rice dishes, salads",$,30.257632,-97.72644,3.25,34.95,11.286625766871166,11.95,1,TX/AUSTIN,163
5408,15042,15042,40183,Cruzteca Mexican Kitchen,austin,tx,4.6,50.0,"tex mex, mexican, breakfast and brunch, family friendly, tacos, local specialities",$$,30.23047,-97.81708,5.0,24.0,14.031176470588235,15.99,1,TX/AUSTIN,51
5413,15047,15047,40188,One Taco,austin,tx,4.8,330.0,"mexican, latin american, new mexican, wings, group friendly",$,30.406546861570813,-97.67321622448723,3.15,10.0,5.899019607843138,5.45,1,TX/AUSTIN,51
5421,15055,15055,40197,Austin Daily Press,austin,tx,4.8,163.0,"healthy, sandwich, salads, mexican, family friendly",$,30.2802298,-97.7211657,3.59,18.2,11.835405405405403,14.3,1,TX/AUSTIN,37
5422,15056,15056,40199,Chipotle Mexican Grill,austin,tx,4.5,246.0,"healthy, mexican, group friendly",$,30.2012374,-97.768482,3.15,16.0,7.85263157894737,6.425,1,TX/AUSTIN,38
5444,15078,15078,40221,One Taco,austin,tx,4.7,247.0,"mexican, latin american, new mexican, wings, group friendly",$,30.2659966,-97.74217,3.15,10.0,5.780392156862745,5.25,1,TX/AUSTIN,51
