,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
3934,9984,9984,28821,La Molienda Restaurant,washington dc,dc,4.8,25.0,"mexican, coffee and tea, desserts",$$,38.936233,-77.033033,3.0,37.99,11.7587012987013,12.5,1,DC/WASHINGTON DC,77
3961,10011,10011,28851,District Rico,washington dc,dc,4.8,121.0,"latin american, breakfast and brunch, mexican",$,38.92081,-76.99345,7.99,7.99,7.99,7.99,1,DC/WASHINGTON DC,2
4011,10062,10062,28907,Taco City DC,washington dc,dc,4.8,126.0,mexican,$,38.8773275,-76.9946942,3.0,20.0,8.454081632653061,5.5,1,DC/WASHINGTON DC,49
4024,10075,10075,28921,Man vs Fries,arlington,va,4.6,302.0,"mexican, desserts, fast food",$,38.88917,-77.09035,3.19,18.5,15.152222222222225,17.5,1,VA/ARLINGTON,18
4042,10093,10093,28940,Taco Bell,washington dc,dc,4.6,500.0,"burritos, fast food, mexican",$,38.92931,-77.03299,3.59,29.99,10.32955223880597,6.23,1,DC/WASHINGTON DC,67
4083,10134,10134,28986,Los Cuates,washington dc,dc,,,"mexican, desserts, family meals",$$,38.9104734,-77.0651425,3.5,49.95,12.899928057553955,13.95,1,DC/WASHINGTON DC,139
4091,10142,10142,28996,Bandit Taco,washington dc,dc,4.9,500.0,"mexican, family meals, latin american",$,38.9167162,-77.0371785,3.0,50.0,8.13888888888889,7.0,1,DC/WASHINGTON DC,90
4092,10143,10143,28998,La Cabana Restaurante  th St NW Washington DC,washington dc,dc,,,"latin american, mexican, vegetarian, family meals, healthy",$,38.9367919,-77.0330768,3.0,16.95,12.37704918032787,12.95,1,DC/WASHINGTON DC,61
4118,10169,10169,29028,Don Lobos Mexican Grill,washington dc,dc,,,mexican,$$,38.9055699,-77.0574215,3.0,22.0,13.536567164179106,14.0,1,DC/WASHINGTON DC,67
4130,10181,10181,29042,El Amigo CarryOut,washington dc,dc,,,"latin american, mexican, vegetarian, healthy",$,38.936707,-77.033018,3.0,15.99,11.067272727272726,12.0,1,DC/WASHINGTON DC,22
4131,10182,10182,29043,Moes Southwest Grill,washington dc,dc,4.7,249.0,"mexican, tex mex, salads, healthy",$,38.9070558,-77.0053496,3.49,53.69,17.98090909090909,9.79,1,DC/WASHINGTON DC,11
4145,10196,10196,29061,La Lomita Dos,washington dc,dc,4.7,38.0,"mexican, salads, kids friendly, healthy",$,38.8872137,-77.0016039,6.0,18.95,12.28701923076923,12.95,1,DC/WASHINGTON DC,104
4146,10197,10197,29062,California Tortilla,washington dc,dc,,,"mexican, bowls, tacos, burritos, kids friendly, salads",$,38.8961115,-77.0427506,3.23,55.14,10.998513513513512,10.67,1,DC/WASHINGTON DC,74
4151,10202,10202,29069,Judy Restaurant,washington dc,dc,4.8,53.0,"latin american, mexican, salvadorian",$$,38.9196632,-77.0322142,3.0,17.5,10.223880597014926,12.0,1,DC/WASHINGTON DC,67
